-0.20,2610.9,2610.9
-0.19,2569.7,2569.7
-0.18,2460.9,2494.7
-0.17,2553.4,2539.3
-0.16,2605.3,2605.3
-0.15,2619.4,2619.4
-0.14,2616.5,2616.5
-0.13,2605.3,2605.3
-0.12,2591.2,2591.2
-0.11,2594.0,2594.0
-0.10,2585.5,2585.5
-0.09,2565.8,2565.8
-0.08,2578.8,2578.8
-0.07,2591.2,2591.2
-0.06,2597.4,2597.4
-0.05,2602.4,2602.4
-0.04,2597.6,2603.0
-0.03,2543.2,2539.8
-0.02,2380.3,2362.2
-0.01,2044.2,2041.9
0.00,1584.6,1553.6
0.01,1075.1,1083.6
0.02,772.6,760.2
0.03,550.9,550.9
0.04,413.9,413.9
0.05,380.6,380.6
0.06,358.6,358.6
0.07,346.8,346.8
0.08,315.8,317.5
0.09,292.4,293.2
0.10,303.1,304.5
0.11,309.3,304.5
0.12,301.7,301.7
0.13,298.9,301.7
0.14,299.4,301.7
0.15,304.5,304.5
0.16,299.1,304.5
0.17,301.7,301.7
0.18,298.9,301.7
0.19,301.4,301.7
0.20,301.7,298.9
